id_usuario,edad,antiguedad_meses,sesiones_mes,minutos_promedio_sesion,productos_vistos,productos_favoritos,compras_ultimos_6m,gasto_promedio,descuento_utilizado,interacciones_recomendaciones,dias_desde_ultima_compra,satisfaccion,canal_preferido,categoria_favorita,dispositivo_principal,realizara_compra_30d
1054,31,28,9,21.0,33,1.0,3,47.02,32.8,9,14,8.3,App,Bienestar,iOS,1
1055,30,38,14,28.3,34,1.0,3,61.2,36.5,6,51,7.0,App,Bienestar,iOS,0
1056,28,30,14,32.1,34,4.0,1,79.73,17.0,6,41,5.0,App,Hogar,iOS,1
1057,32,23,9,29.0,39,2.0,4,57.83,48.6,5,31,8.8,App,Deporte,Android,1
1058,51,25,13,21.7,31,4.0,5,28.38,33.3,8,28,8.1,App,Tecnología,Android,0
1059,25,31,22,15.3,30,7.0,2,116.58,22.1,10,40,8.0,App,Hogar,iOS,0
1060,46,12,17,15.1,38,5.0,4,83.09,22.4,11,15,7.1,App,Tecnología,iOS,0
1061,18,21,13,16.6,40,5.0,2,91.77,37.7,10,60,6.4,Tablet,Moda,Android,1
1062,31,73,21,24.1,41,5.0,2,69.38,12.6,9,69,9.2,App,Tecnología,Web,0
1063,37,28,12,26.2,33,4.0,2,172.39,57.5,10,29,7.8,Tablet,Bienestar,Android,1
1064,41,23,8,10.7,35,7.0,3,56.83,38.0,4,25,4.7,App,Bienestar,iOS,0
1065,43,17,16,18.0,42,6.0,6,41.48,72.8,7,18,7.2,App,Bienestar,iOS,1
1066,44,12,14,23.9,26,8.0,2,187.27,50.4,9,11,6.9,Tablet,Tecnología,iOS,0
1067,31,26,8,14.8,36,4.0,3,22.38,10.0,7,23,3.6,Web,Moda,Android,0
1068,30,27,12,25.5,42,8.0,2,68.92,35.5,10,34,6.3,Tablet,Hogar,iOS,0
1069,44,20,14,19.5,30,3.0,7,71.95,8.4,7,52,10.0,App,Tecnología,Android,1
1070,33,91,13,16.2,26,6.0,4,70.42,26.4,7,13,4.0,App,Moda,iOS,0
1071,21,13,11,22.4,26,4.0,1,31.95,20.9,13,30,5.7,App,Tecnología,Android,0
1072,23,11,7,25.1,37,2.0,4,39.08,14.2,12,31,3.9,Tablet,Bienestar,iOS,1
1073,25,17,13,15.2,24,7.0,2,127.02,21.4,8,44,5.1,App,Bienestar,Android,0
1074,40,21,9,20.1,44,5.0,3,160.68,20.1,10,21,4.7,App,Deporte,Android,0
1075,37,11,20,25.7,34,7.0,1,59.62,17.3,8,76,5.6,App,Hogar,iOS,0
1076,43,25,12,15.9,44,5.0,6,44.95,74.2,7,59,9.7,App,Bienestar,iOS,0
1077,30,27,11,8.7,44,6.0,4,28.1,29.1,12,37,8.6,App,Moda,Android,0
1078,37,33,10,9.7,31,5.0,2,125.81,38.8,9,71,6.9,App,Tecnología,iOS,0
1079,42,15,17,18.7,31,3.0,4,129.97,4.5,13,46,9.6,Web,Hogar,Android,0
1080,32,47,11,11.5,31,3.0,4,15.98,12.0,7,65,6.6,Web,Hogar,iOS,0
1081,40,32,14,19.2,40,4.0,3,19.77,37.7,7,55,6.0,App,Bienestar,iOS,0
1082,28,13,14,35.3,27,4.0,1,73.03999999999999,27.7,10,42,6.7,Web,Bienestar,Android,0
1083,31,11,11,11.0,39,3.0,5,86.82,26.6,9,43,5.1,App,Deporte,iOS,1
1084,31,18,12,19.7,24,4.0,3,57.68,10.3,7,37,4.7,App,Tecnología,iOS,0
1085,22,27,19,39.1,33,2.0,2,73.65,12.3,5,117,8.2,Web,Deporte,iOS,0
1086,40,30,12,25.3,39,6.0,2,65.46,20.3,10,61,7.8,App,Hogar,iOS,0
1087,30,32,13,19.1,28,6.0,1,76.1,51.0,16,35,5.5,App,Hogar,Android,0
1088,35,70,10,20.7,43,2.0,4,45.69,23.2,7,74,8.0,App,Bienestar,Android,0
1089,40,5,9,25.4,38,4.0,3,74.5,22.7,12,21,8.0,Tablet,Bienestar,Android,0
1090,40,20,14,35.6,41,3.0,1,51.76,45.7,4,39,6.5,App,Hogar,Android,0
1091,42,67,9,17.8,31,9.0,2,49.44,11.0,6,21,6.0,App,Bienestar,Android,0
1092,34,34,17,15.9,31,3.0,2,26.86,14.4,8,34,8.4,App,Tecnología,Android,0
1093,30,10,12,11.0,37,5.0,1,68.1,12.2,7,26,7.9,App,Tecnología,Web,0
1094,34,24,15,22.8,51,9.0,2,116.64,35.5,10,35,9.7,App,Moda,Android,1
1095,18,19,17,10.8,40,7.0,5,62.7,43.9,9,21,7.9,App,Deporte,iOS,0
1096,19,19,8,18.3,35,8.0,3,61.75,17.9,6,39,4.8,App,Moda,Android,1
1097,20,15,13,14.7,38,3.0,1,149.63,26.6,5,12,5.2,App,Tecnología,iOS,0
1098,24,23,7,30.6,27,5.0,3,131.79,64.6,9,28,7.0,Web,Deporte,Android,0
1099,39,42,8,17.9,34,6.0,2,194.71,31.6,6,23,8.4,App,Moda,Web,0
1100,25,16,16,25.2,41,5.0,4,259.53,41.0,13,3,7.7,Web,Deporte,Android,1
1101,31,32,9,9.2,37,6.0,2,77.49,21.1,8,63,6.4,App,Hogar,Android,0
1102,49,36,12,23.1,22,2.0,2,39.69,7.5,6,89,4.9,App,Deporte,Web,0
1103,31,47,9,12.4,30,4.0,4,56.31,27.7,8,44,9.4,Web,Deporte,Android,0
1104,43,11,9,18.6,38,3.0,4,102.78,23.6,5,33,9.3,App,Deporte,Android,0
1105,25,22,15,39.7,35,6.0,6,73.03999999999999,34.4,8,23,5.3,Web,Deporte,Android,0
1106,33,13,19,29.5,38,5.0,1,42.12,50.2,8,38,8.2,App,Hogar,Android,0
1107,25,23,8,21.0,27,9.0,7,86.31,43.8,14,51,7.7,App,Hogar,Android,0
1108,31,23,9,47.6,39,3.0,2,48.49,16.9,7,61,8.3,Web,Tecnología,Android,0
1109,44,9,14,14.7,36,3.0,8,69.19,3.0,5,52,9.4,App,Tecnología,Android,1
1110,18,24,12,31.3,37,6.0,10,68.62,11.9,5,21,9.3,App,Deporte,Android,0
1111,40,72,15,9.7,31,4.0,3,92.49,9.2,8,25,8.0,Tablet,Bienestar,iOS,0
1112,38,30,11,20.0,34,5.0,3,229.35,18.1,5,15,7.0,App,Moda,iOS,0
1113,28,8,7,11.2,26,8.0,4,97.4,18.1,8,19,6.9,App,Deporte,iOS,1
1114,19,11,11,24.1,30,5.0,3,59.21,53.1,6,51,7.0,App,Deporte,Android,0
1115,36,21,18,22.4,31,8.0,3,54.07,39.6,5,32,10.0,Tablet,Bienestar,iOS,0
1116,29,11,11,19.5,28,3.0,1,67.53,27.9,5,52,7.4,Web,Bienestar,Web,0
1117,38,45,10,30.7,39,3.0,6,46.44,48.7,6,58,8.4,App,Bienestar,Web,0
1118,35,7,13,17.5,28,7.0,5,80.99,35.1,13,36,7.9,App,Tecnología,Web,0
1119,53,30,16,24.6,41,2.0,4,19.91,5.5,8,54,5.9,Tablet,Deporte,Android,0
1120,32,6,8,28.6,40,3.0,2,66.78,29.6,12,28,8.0,Tablet,Moda,Web,0
1121,24,21,12,10.1,34,5.0,4,69.75,41.9,10,37,6.4,Web,Tecnología,Android,0
1122,37,10,15,16.0,31,0.0,5,39.61,19.3,9,12,6.0,App,Hogar,Android,0
1123,37,33,10,22.4,33,4.0,3,60.78,39.1,11,27,8.1,Web,Tecnología,Android,0
1124,50,41,9,27.0,35,7.0,3,138.86,51.4,3,19,5.5,Web,Hogar,Android,0
1125,44,27,15,33.4,27,3.0,5,144.48,30.3,5,10,8.5,App,Hogar,iOS,1
1126,39,42,14,20.3,36,7.0,2,55.94,52.5,1,41,8.1,App,Tecnología,Web,1
1127,51,2,14,19.5,33,5.0,3,100.02,57.8,8,30,9.1,App,Deporte,iOS,0
1128,22,24,9,15.0,31,4.0,4,32.89,39.0,10,25,8.0,App,Tecnología,iOS,0
1129,28,29,16,24.6,46,6.0,1,63.73,4.2,9,26,6.0,Web,Bienestar,Android,0
1130,25,32,16,19.6,46,1.0,3,85.15,17.5,9,13,8.9,App,Tecnología,iOS,1
1131,31,4,13,19.8,29,8.0,1,173.69,44.6,8,48,8.9,Web,Deporte,Android,0
1132,20,28,11,21.2,32,7.0,6,144.54,18.5,11,48,8.6,App,Hogar,Android,0
1133,42,32,10,26.4,23,5.0,2,84.13,6.4,14,21,8.3,Web,Hogar,Android,1
1134,33,24,12,17.5,28,2.0,5,45.43,7.6,9,15,7.3,Web,Hogar,Web,1
1135,19,8,17,15.8,39,5.0,5,158.33,35.9,8,41,8.5,App,Bienestar,Android,0
1136,24,15,14,25.5,28,13.0,3,62.2,43.5,3,78,5.6,App,Moda,Web,0
1137,38,45,12,3.0,32,0.0,3,95.98,5.9,6,34,6.4,App,Tecnología,iOS,0
1138,44,42,10,17.2,32,4.0,1,70.11,17.6,5,52,6.1,App,Moda,Android,0
1139,57,29,13,12.8,38,5.0,8,224.35,21.3,4,24,5.1,Web,Deporte,iOS,0
1140,67,34,8,31.6,30,5.0,5,53.62,29.9,8,38,7.5,Web,Tecnología,iOS,1
1141,40,39,15,18.5,32,5.0,4,124.14,9.3,10,6,7.3,App,Hogar,Web,1
1142,24,29,12,17.5,32,2.0,1,73.03999999999999,47.9,9,23,9.2,Web,Tecnología,Android,0
1143,18,45,14,21.6,31,3.0,5,102.56,19.2,7,14,9.0,Web,Deporte,Android,1
1144,38,44,11,17.2,35,5.0,2,182.82,30.9,8,99,7.5,Web,Hogar,Android,1
1145,26,86,9,18.8,40,3.0,1,24.9,41.6,11,32,8.4,Tablet,Tecnología,Android,0
1146,30,15,6,22.8,34,5.0,1,72.35,29.7,13,129,7.2,App,Moda,iOS,1
1147,28,15,8,18.6,28,2.0,2,45.87,28.0,9,32,7.1,Web,Tecnología,iOS,0
1148,33,1,13,18.6,33,4.0,2,95.84,39.0,7,41,7.5,App,Moda,Android,1
1149,47,28,12,13.9,28,8.0,4,109.7,6.0,5,30,7.1,App,Bienestar,Web,0
1150,37,64,16,12.8,30,10.0,2,57.9,4.5,6,25,7.6,App,Tecnología,Android,0
1151,33,47,13,22.5,25,8.0,3,56.28,33.4,8,40,8.2,App,Hogar,Android,0
1152,24,36,10,24.5,30,4.0,10,83.9,41.7,10,50,5.6,Web,Tecnología,Android,0
1153,18,49,9,10.6,38,5.0,2,37.23,49.6,11,17,6.7,App,Deporte,iOS,1
1154,30,30,6,28.1,44,5.0,2,90.09,33.0,6,25,8.4,Web,Moda,iOS,1
1155,34,18,11,28.1,34,9.0,2,47.83,36.2,8,11,6.5,Web,Tecnología,iOS,1
1156,54,74,8,29.8,41,7.0,4,112.28,66.6,9,8,6.6,Tablet,Tecnología,Android,1
1157,36,28,9,24.4,33,7.0,4,36.33,30.3,6,50,8.7,App,Moda,Web,0
1158,46,43,10,27.1,37,0.0,6,54.9,36.1,5,47,6.3,Web,Deporte,Android,0
1159,30,2,19,39.5,37,5.0,0,49.62,54.7,8,28,7.9,App,Tecnología,iOS,1
1160,22,3,14,19.6,39,3.0,1,63.66,45.6,9,47,7.5,App,Tecnología,iOS,0
1161,24,24,12,13.6,34,4.0,1,159.89,16.5,12,51,8.5,App,Tecnología,Android,0
1162,27,11,17,9.7,36,8.0,1,119.43,41.8,10,63,7.2,App,Tecnología,Android,0
1163,58,26,12,36.0,35,9.0,3,57.61,32.6,11,6,6.2,App,Hogar,iOS,0
1164,26,15,13,36.2,26,3.0,3,57.58,7.1,5,33,6.4,App,Tecnología,Android,1
1165,44,93,13,14.6,34,4.0,5,122.05,30.4,4,14,9.6,App,Hogar,Android,0
1166,25,41,13,16.2,34,0.0,4,39.54,32.6,12,19,6.6,Web,Bienestar,Android,0
1167,45,52,8,19.4,35,6.0,1,75.93,21.1,6,18,6.5,App,Tecnología,iOS,0
1168,39,3,9,31.8,32,6.0,4,53.75,23.6,9,39,6.7,App,Moda,iOS,1
1169,33,36,12,11.7,37,1.0,3,68.24,23.7,10,22,6.9,App,Hogar,Web,0
1170,35,19,14,6.3,33,3.0,3,117.04,12.8,12,6,6.7,Web,Hogar,Web,0
1171,28,52,10,39.3,33,2.0,6,51.9,20.6,3,43,8.1,App,Bienestar,iOS,0
1172,40,33,9,24.5,35,5.0,3,128.16,13.0,13,14,7.4,Web,Deporte,Web,0
1173,30,21,11,25.6,33,5.0,6,251.45,35.1,13,15,6.5,App,Tecnología,Android,1
1174,22,8,7,20.4,42,3.0,3,104.55,18.0,4,140,7.3,Web,Moda,Android,0
1175,21,24,8,25.7,37,10.0,4,71.61,25.9,5,72,7.7,App,Deporte,iOS,0
1176,37,45,7,9.9,39,4.0,3,141.73,7.6,7,22,9.2,Web,Moda,iOS,0
1177,52,54,9,15.3,30,6.0,1,40.76,25.1,10,16,7.7,App,Tecnología,iOS,1
1178,37,17,9,22.8,37,5.0,5,173.14,34.5,9,49,7.1,App,Tecnología,iOS,1
1179,34,84,7,3.8,42,1.0,1,49.57,15.8,11,161,7.0,App,Bienestar,Android,0
1180,38,43,16,19.6,37,5.0,2,247.14,40.4,0,83,7.5,Web,Hogar,Android,1
1181,49,11,9,19.1,37,7.0,1,50.56,13.9,3,52,7.8,App,Deporte,Android,0
1182,37,9,9,19.6,33,11.0,3,107.92,44.7,10,83,7.3,App,Deporte,Android,0
1183,30,20,11,17.6,37,3.0,3,31.81,83.1,7,45,6.7,App,Deporte,Android,0
1184,47,17,13,14.0,40,3.0,1,66.7,25.0,2,79,8.2,App,Moda,iOS,0
1185,40,30,14,7.4,36,3.0,3,41.42,49.5,7,20,7.9,Web,Tecnología,iOS,0
1186,52,22,13,23.2,31,6.0,3,33.94,22.6,8,62,7.3,Web,Bienestar,Android,0
1187,37,18,9,19.6,51,12.0,1,145.55,29.5,4,31,8.2,Web,Tecnología,iOS,0
1188,22,6,14,11.0,39,4.0,2,38.18,29.0,5,51,7.2,Web,Deporte,Android,0
1189,20,33,11,22.5,38,6.0,2,50.06,24.9,5,85,7.3,Web,Bienestar,Android,0
1190,53,6,16,19.6,42,5.0,2,46.95,45.3,7,27,8.2,App,Moda,iOS,0
1191,54,43,10,18.3,45,9.0,0,140.37,42.6,3,19,8.4,App,Deporte,iOS,1
1192,33,4,7,4.7,42,6.0,0,131.25,49.5,5,65,8.2,App,Bienestar,iOS,0
1193,31,5,10,27.5,38,10.0,1,150.83,26.2,9,39,6.2,Web,Tecnología,Android,0
1194,51,11,12,12.1,38,7.0,3,48.66,16.2,7,41,7.8,Web,Hogar,Android,0
1195,23,16,11,22.5,42,6.0,3,157.55,39.2,13,18,7.4,App,Bienestar,iOS,0
1196,25,14,20,15.5,40,3.0,2,48.44,38.1,7,49,7.8,App,Moda,Android,0
1197,42,16,11,18.9,33,6.0,4,49.52,16.3,12,58,9.9,App,Hogar,Web,0
1198,31,26,17,31.2,35,7.0,3,51.07,26.8,12,22,7.0,App,Bienestar,Android,0
1199,35,11,16,26.3,37,3.0,4,52.1,28.8,12,31,7.3,App,Moda,Android,0
1200,33,26,14,31.0,37,5.0,5,71.35,22.4,2,22,6.5,Web,Bienestar,iOS,0
1201,39,2,12,24.6,27,4.0,5,47.29,44.4,15,46,7.0,App,Deporte,iOS,0
1202,50,11,16,25.2,30,6.0,5,85.18,52.0,8,72,6.4,App,Tecnología,iOS,0
1203,36,5,10,7.8,35,8.0,4,17.86,56.1,8,2,5.8,Web,Bienestar,iOS,0
1204,42,42,11,19.5,32,5.0,1,85.03,21.1,13,24,4.6,Web,Moda,iOS,0
1205,18,12,7,20.2,36,5.0,1,41.19,13.5,10,98,6.3,Tablet,Deporte,Web,0
1206,34,32,17,31.8,32,8.0,1,51.9,3.7,9,29,6.4,App,Tecnología,iOS,0
1207,26,4,11,18.0,42,4.0,7,52.59,6.0,7,39,7.2,App,Bienestar,iOS,1
1208,22,53,17,24.1,42,5.0,6,125.99,13.1,4,132,6.5,Web,Deporte,Android,0
1209,25,23,16,23.8,34,7.0,2,98.99,20.9,6,91,8.7,Tablet,Tecnología,iOS,0
1210,31,21,17,31.3,27,7.0,4,68.47,45.4,12,47,7.6,App,Deporte,iOS,1
1211,45,6,12,20.9,41,4.0,4,50.61,13.6,5,30,8.3,Web,Bienestar,iOS,0
1212,20,10,16,28.6,45,5.0,4,115.36,33.2,7,57,8.7,App,Deporte,Android,0
1213,35,18,10,8.4,34,3.0,4,201.26,57.4,6,22,9.2,App,Moda,iOS,1
1214,30,10,7,9.1,44,2.0,3,73.85,29.3,6,23,7.3,Web,Moda,Android,0
1215,31,40,13,3.7,31,3.0,3,31.14,17.9,6,14,6.1,App,Deporte,iOS,1
1216,46,23,7,28.3,31,1.0,4,50.95,16.8,14,20,8.5,Web,Moda,iOS,0
1217,41,10,12,27.4,32,4.0,3,102.01,13.0,10,29,7.7,App,Tecnología,Web,0
1218,50,36,12,29.2,29,10.0,4,58.79,43.1,10,45,9.2,App,Hogar,Android,0
1219,33,17,8,16.6,32,3.0,4,46.77,17.7,7,48,7.3,Web,Bienestar,Android,0
1220,27,35,16,17.5,44,3.0,4,45.66,50.3,9,27,8.9,Web,Tecnología,Android,0
1221,33,15,13,21.0,35,3.0,6,78.88,23.4,7,39,7.4,Tablet,Hogar,iOS,1
1222,38,31,16,33.5,40,6.0,5,32.26,35.0,10,76,7.5,Web,Tecnología,Android,1
1223,37,16,11,35.6,32,6.0,2,73.58,12.9,6,55,8.2,App,Bienestar,Android,0
1224,23,40,11,28.4,36,5.0,2,78.74,44.2,6,19,6.9,App,Tecnología,Android,1
1225,36,4,7,24.6,38,6.0,1,58.57,48.8,8,33,8.1,App,Deporte,iOS,1
1226,38,8,11,32.7,35,5.0,2,42.26,11.8,7,69,5.2,App,Hogar,Android,1
1227,63,19,9,20.0,46,0.0,4,131.32,43.5,2,21,8.0,Web,Hogar,Android,1
1228,56,13,13,18.9,34,5.0,6,36.03,25.1,8,18,5.5,App,Tecnología,Android,0
1229,26,16,12,21.0,33,9.0,3,82.47,40.9,8,22,8.1,App,Bienestar,iOS,0
1230,32,33,15,14.2,37,3.0,6,111.92,4.6,11,30,2.9,App,Hogar,Android,1
1231,19,16,24,20.6,36,4.0,7,81.87,22.9,4,18,4.8,App,Hogar,Android,0
1232,29,27,13,13.1,35,7.0,2,147.62,20.4,6,23,7.4,Web,Tecnología,iOS,0
1233,38,11,10,30.2,35,5.0,5,40.17,16.0,4,77,7.4,App,Deporte,Android,0
1234,48,3,10,26.3,32,5.0,1,48.54,15.3,6,70,6.9,Web,Tecnología,Android,0
1235,27,35,7,33.4,36,4.0,3,58.2,7.1,9,6,8.3,App,Moda,iOS,1
1236,28,61,12,9.0,36,5.0,5,458.23,63.4,11,9,8.6,Web,Deporte,Android,1
1237,18,25,14,37.2,35,4.0,2,99.16,28.0,9,55,10.0,App,Deporte,Android,0
1238,33,20,9,9.4,33,6.0,1,109.92,47.6,6,21,7.4,App,Tecnología,Android,1
1239,23,23,18,12.4,32,4.0,5,107.43,36.3,5,17,8.7,Web,Moda,iOS,0
1240,29,49,17,17.0,32,3.0,2,78.32,36.2,10,43,6.1,App,Tecnología,Android,0
1241,25,25,9,32.5,29,5.0,3,133.58,41.5,4,50,6.5,App,Bienestar,iOS,0
1242,34,36,14,23.8,34,3.0,6,26.81,40.8,13,54,6.2,Web,Moda,Android,0
1243,18,35,13,20.0,37,3.0,3,87.34,44.2,5,52,7.1,App,Tecnología,Web,1
1244,19,42,12,15.7,33,8.0,7,94.92,44.2,8,45,7.6,App,Deporte,Android,0
1245,58,20,11,11.0,35,3.0,3,131.33,24.0,9,28,8.8,App,Bienestar,Android,1
1246,21,15,13,31.1,50,9.0,3,39.72,26.9,11,60,7.8,App,Tecnología,Android,0
1247,23,31,11,28.4,38,4.0,1,41.36,30.0,11,58,9.2,App,Tecnología,iOS,0
1248,55,40,12,32.8,31,6.0,2,42.82,15.1,7,65,9.2,App,Hogar,Android,0
1249,67,45,14,25.2,34,5.0,2,99.96,10.3,14,18,7.4,App,Tecnología,Android,1
1250,22,53,11,3.0,41,9.0,2,100.75,3.8,11,17,7.2,Web,Moda,iOS,0
1251,31,38,12,12.0,44,2.0,1,44.48,19.3,8,135,5.2,App,Bienestar,Android,0
1252,39,14,14,25.7,31,2.0,1,214.94,27.7,4,65,6.5,App,Hogar,iOS,0
1253,54,25,16,19.0,33,1.0,4,87.79,27.2,7,22,6.2,Web,Bienestar,Android,0
1254,24,24,10,17.5,30,3.0,6,80.3,30.6,11,28,6.2,Web,Tecnología,Android,1
1255,32,22,13,13.2,32,5.0,5,66.91,25.9,4,51,6.7,Web,Bienestar,Web,1
1256,44,31,13,29.6,30,5.0,3,125.12,21.5,8,55,8.0,Web,Hogar,Android,0
1257,40,19,8,25.6,34,5.0,4,92.92,30.0,11,8,7.7,App,Bienestar,Android,1
1258,31,19,8,26.0,34,5.0,1,212.07,19.4,8,42,8.7,App,Bienestar,iOS,0
1259,34,63,14,16.9,39,3.0,3,38.47,10.6,14,58,7.8,Web,Hogar,iOS,0
1260,20,21,11,23.4,30,6.0,9,32.05,38.1,10,23,6.5,App,Tecnología,iOS,0
1261,32,42,15,11.3,37,7.0,2,49.92,16.1,6,8,8.4,App,Hogar,iOS,1
1262,32,43,20,21.0,34,5.0,4,101.68,24.8,11,53,7.3,App,Hogar,Android,1
1263,38,25,15,3.0,33,10.0,5,59.27,57.7,10,12,8.7,Web,Bienestar,Android,1
1264,29,19,10,9.5,31,9.0,1,150.89,22.5,6,73,6.2,Web,Moda,iOS,0
1265,40,11,7,19.4,41,6.0,2,60.4,31.5,8,16,4.1,Web,Deporte,iOS,0
1266,46,5,8,41.0,30,5.0,7,135.98,11.2,9,39,8.1,Web,Deporte,Android,0
1267,37,32,8,7.6,33,10.0,7,47.49,52.2,6,9,6.9,App,Hogar,iOS,0
1268,39,28,19,12.1,33,5.0,4,143.76,26.1,9,38,8.9,Web,Moda,iOS,1
1269,36,35,13,23.7,39,3.0,5,159.26,28.9,9,33,8.6,App,Tecnología,Android,0
1270,35,15,16,36.2,40,3.0,5,54.97,12.7,4,28,5.9,App,Moda,Android,1
1271,27,67,15,23.6,38,6.0,3,98.17,10.6,6,23,9.4,Web,Moda,iOS,1
1272,38,30,13,27.6,35,5.0,3,86.9,8.7,7,29,4.7,App,Moda,Android,0
