id_producto,categoria,subcategoria,precio,nivel_novedad,popularidad,sostenibilidad
P087,Hogar,Organización,26.57,79.3,43.7,42.3
P088,Moda,Calzado,52.43,69.1,66.0,56.3
P089,Deporte,Running,63.68,60.1,70.2,62.1
P090,Hogar,Iluminación,87.69,82.1,58.1,59.5
P091,Bienestar,Personal,295.36,69.8,97.4,67.2
P092,Bienestar,Cuidado,8.98,78.6,58.8,55.7
P093,Bienestar,Cuidado,122.3,43.7,68.9,97.3
P094,Bienestar,Cuidado,51.43,89.9,93.6,60.6
P095,Deporte,Outdoor,63.66,67.0,72.6,81.7
P096,Hogar,Iluminación,44.52,60.7,56.8,46.7
P097,Hogar,Organización,50.29,43.7,56.4,61.6
P098,Deporte,Running,25.13,35.1,84.4,65.0
P099,Tecnología,Wearables,152.91,92.8,93.8,84.4
P100,Tecnología,Smartphone,60.3,96.7,52.3,54.5
P101,Bienestar,Cuidado,285.38,81.2,53.5,74.7
P102,Moda,Casual,152.77,44.6,55.2,61.7
P103,Deporte,Outdoor,135.97,52.2,69.9,89.0
P104,Tecnología,Smartphone,445.72,23.8,97.9,86.3
P105,Moda,Accesorios,54.93,30.9,81.2,69.8
P106,Bienestar,Salud,136.36,24.8,68.2,46.1
P107,Tecnología,Smartphone,23.13,76.5,69.5,99.8
P108,Deporte,Yoga,113.42,70.0,75.1,73.6
P109,Tecnología,Smartphone,122.97,60.9,35.2,52.4
P110,Hogar,Decoración,143.64,21.3,70.9,46.2
P111,Deporte,Yoga,45.75,93.6,100.0,78.0
P112,Deporte,Running,102.61,99.1,53.1,75.9
P113,Bienestar,Personal,55.21,45.1,22.7,82.6
P114,Moda,Calzado,58.1,81.5,94.6,63.8
P115,Deporte,Fitness,64.4,54.6,55.9,77.1
P116,Bienestar,Cuidado,87.29,24.9,67.8,86.6
P117,Deporte,Yoga,90.89,28.9,79.7,39.8
P118,Tecnología,Audio,187.67,27.0,81.2,54.3
P119,Deporte,Fitness,170.5,99.3,94.2,51.5
P120,Deporte,Running,72.71,20.5,75.7,53.6
P121,Tecnología,Smartphone,126.73,35.2,72.6,84.4
P122,Hogar,Cocina,90.26,91.5,84.3,37.6
P123,Hogar,Iluminación,49.52,66.6,39.0,74.9
P124,Hogar,Iluminación,74.48,43.9,95.5,36.6
P125,Moda,Calzado,115.3,30.4,3.7,61.4
P126,Tecnología,Audio,163.22,72.9,66.6,74.9
P127,Deporte,Yoga,102.02,26.6,69.8,67.0
P128,Tecnología,Audio,149.54,67.1,76.8,60.4
P129,Hogar,Iluminación,161.5,61.1,16.7,66.6
P130,Deporte,Outdoor,128.52,27.7,41.4,57.6
P131,Deporte,Yoga,73.47,45.1,77.0,58.0
P132,Hogar,Iluminación,72.05,47.7,91.9,91.8
P133,Moda,Accesorios,48.59,93.3,57.3,69.8
P134,Bienestar,Salud,115.37,85.9,56.2,41.8
P135,Hogar,Cocina,29.11,76.0,57.9,38.6
P136,Hogar,Iluminación,262.65,58.7,84.7,53.7
P137,Deporte,Outdoor,72.41,83.2,93.4,87.5
P138,Tecnología,Smartphone,33.45,75.7,64.8,49.0
P139,Hogar,Organización,151.68,83.2,70.7,72.5
P140,Hogar,Cocina,51.1,47.8,55.6,60.0
P141,Deporte,Outdoor,92.18,24.5,64.6,39.0
P142,Deporte,Fitness,40.27,37.7,72.8,76.6
P143,Bienestar,Personal,48.37,61.0,81.6,90.2
P144,Deporte,Outdoor,201.6,90.8,51.0,41.8
P145,Hogar,Iluminación,70.17,37.0,79.6,57.3
P146,Tecnología,Audio,114.79,67.3,46.9,73.9
P147,Hogar,Organización,669.7550194393771,99.8,23.0,65.5
P148,Hogar,Decoración,73.82,71.4,83.6,36.2
P149,Moda,Casual,52.13,33.2,72.1,81.9
P150,Hogar,Decoración,34.15,86.6,95.2,80.4
P151,Bienestar,Relajación,109.05,79.5,45.8,93.5
P152,Bienestar,Personal,83.75,58.7,81.9,49.5
P153,Moda,Urbana,55.96,94.2,58.8,98.0
P154,Moda,Casual,62.14,26.5,86.6,72.7
P155,Bienestar,Salud,185.64,47.1,68.5,44.5
P156,Moda,Urbana,135.72,24.1,60.1,98.1
P157,Hogar,Decoración,94.01,78.4,49.8,74.4
P158,Deporte,Yoga,45.82,22.5,72.9,85.8
P159,Bienestar,Salud,105.42,66.6,66.1,95.4
P160,Tecnología,Wearables,48.71,97.9,55.9,62.7
P161,Moda,Urbana,61.35,81.0,66.0,99.7
P162,Moda,Accesorios,203.77,89.5,77.1,83.2
P163,Moda,Urbana,38.21,52.1,31.5,99.2
P164,Moda,Casual,52.82,34.8,53.3,65.2
P165,Hogar,Cocina,132.46,37.8,74.8,87.2
P166,Tecnología,Smartphone,171.81,41.7,53.9,86.8
P167,Moda,Urbana,44.31,35.4,45.3,87.1
P168,Deporte,Yoga,65.52,37.0,41.0,52.3
P169,Tecnología,Audio,231.1,62.4,44.1,57.4
P170,Moda,Accesorios,226.14,60.7,74.3,73.4
P171,Bienestar,Relajación,56.02,52.2,59.2,85.3
P172,Deporte,Running,74.64,68.8,35.0,86.8
P173,Deporte,Fitness,96.94,23.3,49.9,70.5
P174,Deporte,Outdoor,152.79,61.75,56.4,71.0
P175,Hogar,Organización,59.37,71.6,72.5,45.8
P176,Hogar,Cocina,65.24,51.7,43.5,92.4
P177,Bienestar,Relajación,885.92,94.7,30.9,81.2
P178,Moda,Urbana,169.4,22.9,67.9,64.8
P179,Bienestar,Cuidado,122.23,89.0,70.4,91.1
P180,Deporte,Running,55.1,44.4,88.9,97.4
P181,Moda,Urbana,95.52,67.6,85.8,52.2
P182,Hogar,Decoración,73.92,53.1,51.4,51.6
P183,Bienestar,Salud,60.0,68.9,77.0,84.7
P184,Deporte,Running,51.21,23.0,77.3,76.5
P185,Tecnología,Smartphone,47.14,30.4,47.9,54.0
P186,Hogar,Iluminación,77.48,62.1,67.3,58.3
P187,Tecnología,Audio,33.39,79.5,59.3,54.3
P188,Bienestar,Cuidado,19.39,55.8,63.5,67.7
P189,Moda,Calzado,44.14,94.9,58.1,35.3
P190,Bienestar,Salud,82.97,62.2,90.9,70.6
P191,Hogar,Organización,31.54,38.1,83.2,87.5
P192,Hogar,Cocina,24.97,73.2,83.4,35.1
P193,Hogar,Iluminación,37.52,28.4,89.5,93.8
P194,Moda,Casual,96.86,85.7,53.2,49.2
P195,Bienestar,Salud,90.8,39.0,61.1,38.5
P196,Hogar,Cocina,42.37,91.1,74.6,74.6
P197,Deporte,Fitness,45.87,43.3,48.2,65.1
P198,Tecnología,Wearables,78.06,68.0,86.9,49.1
P199,Hogar,Decoración,85.67,53.3,54.2,43.0
P200,Tecnología,Wearables,60.89,33.6,29.2,64.0
P201,Hogar,Iluminación,177.1,83.0,56.8,80.5
P202,Bienestar,Salud,65.06,93.7,57.3,39.9
P203,Bienestar,Relajación,155.83,39.2,72.1,55.7
P204,Moda,Calzado,160.65,57.4,20.1,63.9
P205,Bienestar,Relajación,24.91,76.9,68.3,80.2
P206,Hogar,Cocina,141.32,35.4,68.6,76.8
P207,Bienestar,Relajación,151.77,78.0,93.4,50.2
P208,Hogar,Decoración,132.95,60.0,57.3,75.8
P209,Moda,Urbana,29.33,89.1,69.7,92.1
P210,Tecnología,Wearables,59.83,32.3,60.3,44.8
P211,Deporte,Outdoor,56.77,98.3,64.8,92.6
P212,Deporte,Running,222.52,80.2,53.2,64.7
P213,Hogar,Decoración,196.5,92.2,100.0,49.0
P214,Moda,Casual,51.34,61.9,59.0,77.7
P215,Deporte,Fitness,62.82,23.4,66.0,56.1
P216,Deporte,Fitness,27.53,33.0,84.1,56.6
P217,Hogar,Cocina,75.64,61.8,53.4,56.8
P218,Hogar,Decoración,285.02,51.3,94.9,86.6
P219,Moda,Calzado,21.1,25.9,71.8,87.7
P220,Bienestar,Relajación,24.74,66.2,73.8,62.6
P221,Bienestar,Relajación,46.16,55.5,67.6,96.0
P222,Moda,Accesorios,82.09,88.3,68.4,73.5
P223,Bienestar,Personal,85.02,84.4,61.5,86.4
P224,Bienestar,Relajación,43.86,77.3,82.1,55.3
P225,Moda,Casual,122.11,76.9,37.0,69.2
P226,Tecnología,Audio,88.93,93.5,82.2,96.2
P227,Bienestar,Cuidado,193.07,71.1,73.7,81.3
P228,Bienestar,Salud,74.83,44.0,100.0,99.7
P229,Bienestar,Cuidado,58.06,20.9,83.2,54.9
P230,Moda,Calzado,143.93,51.8,46.7,42.9
P231,Bienestar,Personal,241.53,94.3,71.6,74.4
P232,Moda,Casual,27.31,71.6,96.9,93.5
P233,Hogar,Cocina,168.27,29.5,63.8,80.2
P234,Bienestar,Relajación,30.54,92.8,53.9,91.9
P235,Deporte,Yoga,216.62,55.7,84.8,70.2
P236,Tecnología,Audio,23.21,61.75,65.9,53.8
P237,Moda,Accesorios,131.76,85.4,55.6,74.8
P238,Moda,Urbana,122.16,97.7,40.7,40.2
P239,Moda,Calzado,74.98,50.4,75.7,80.9
P240,Hogar,Decoración,130.87,77.7,39.0,66.3
P241,Hogar,Iluminación,137.96,62.5,82.3,46.5
P242,Hogar,Organización,114.97,78.8,72.9,50.3
P243,Tecnología,Wearables,42.02,42.6,47.3,49.9
P244,Tecnología,Smartphone,42.03,52.2,87.5,39.2
P245,Moda,Accesorios,131.02,23.5,62.6,36.6
P246,Moda,Accesorios,35.24,51.5,52.4,87.1
P247,Hogar,Decoración,18.29,72.7,42.0,68.9
P248,Deporte,Outdoor,52.47,37.3,47.2,96.9
P249,Hogar,Organización,43.13,53.2,71.0,76.5
P250,Bienestar,Personal,130.79,86.8,61.4,36.0
P251,Deporte,Outdoor,97.69,92.5,63.5,68.6
P252,Moda,Accesorios,186.54,38.5,60.1,94.1
P253,Bienestar,Relajación,184.15,67.5,100.0,76.7
P254,Moda,Accesorios,138.44,38.0,87.6,79.1
P255,Hogar,Organización,36.03,86.4,98.7,79.1
P256,Bienestar,Salud,144.52,59.0,57.4,51.0
P257,Hogar,Cocina,388.03,57.0,81.0,68.5
P258,Tecnología,Smartphone,82.42,85.3,54.3,48.5
P259,Moda,Casual,138.65,79.7,23.8,82.2
P260,Deporte,Yoga,63.48,64.9,46.0,63.0
P261,Deporte,Fitness,13.23,79.9,94.5,37.7
P262,Moda,Calzado,50.44,96.2,72.7,60.0
P263,Deporte,Fitness,216.19,63.2,88.4,41.2
P264,Hogar,Cocina,65.72,61.75,44.0,39.5
P265,Tecnología,Smartphone,157.18,52.4,65.5,75.1
P266,Bienestar,Relajación,225.94,43.7,62.8,93.2
P267,Bienestar,Cuidado,55.38,88.7,28.9,67.2
P268,Hogar,Cocina,52.37,32.4,91.9,81.9
P269,Tecnología,Wearables,57.02,83.9,78.7,77.3
P270,Hogar,Cocina,34.97,35.1,56.3,98.5
P271,Deporte,Fitness,75.62,93.2,90.7,39.2
P272,Moda,Urbana,24.43,69.2,39.1,54.1
P273,Tecnología,Audio,13.71,62.4,67.3,82.1
P274,Tecnología,Audio,106.05,38.8,63.2,63.2
P275,Moda,Casual,55.96,83.2,58.6,96.8
P276,Deporte,Outdoor,48.8,82.3,88.8,41.1
P277,Bienestar,Cuidado,148.8,90.6,66.4,43.5
P278,Hogar,Cocina,93.18,66.7,46.1,76.3
P279,Hogar,Decoración,35.2,97.7,71.2,51.8
P280,Deporte,Fitness,99.6,47.8,53.8,71.0
P281,Deporte,Yoga,186.67,37.1,60.6,64.7
P282,Bienestar,Salud,164.31,91.5,80.5,80.8
P283,Tecnología,Audio,170.98,72.0,51.5,60.6
P284,Tecnología,Smartphone,82.93,63.6,70.9,75.8
P285,Bienestar,Personal,61.19,83.1,56.6,56.4
P286,Tecnología,Wearables,159.61,72.1,69.5,77.5
P287,Bienestar,Salud,289.66,67.5,74.4,95.5
P288,Bienestar,Cuidado,67.59,90.5,100.0,35.5
P289,Deporte,Outdoor,55.38,40.3,79.4,64.8
P290,Moda,Calzado,255.42,51.5,91.6,40.3
P291,Bienestar,Cuidado,71.37,32.3,63.4,47.4
P292,Deporte,Running,61.73,70.8,50.9,89.5
P293,Bienestar,Salud,455.041010302589,70.8,51.8,49.3
P294,Moda,Casual,123.41,37.8,76.9,53.3
P295,Deporte,Running,78.34,37.7,100.0,58.4
P296,Tecnología,Accesorios,58.66,45.3,65.1,85.5
P297,Hogar,Decoración,76.0,62.3,94.7,85.9
P298,Moda,Calzado,66.72,42.5,38.4,72.6
P299,Tecnología,Smartphone,58.06,68.9,73.3,60.9
P300,Bienestar,Relajación,104.4,27.9,63.0,60.9
P301,Bienestar,Salud,89.52,64.1,59.7,96.3
P302,Moda,Urbana,101.67,91.0,64.2,96.5
P303,Deporte,Running,162.86,97.1,55.7,93.1
P304,Bienestar,Salud,32.95,95.2,68.9,81.7
P305,Tecnología,Smartphone,26.85,25.1,69.2,82.6
P306,Deporte,Running,43.96,96.4,78.1,94.5
P307,Moda,Calzado,79.88,66.0,66.0,50.9
P308,Tecnología,Accesorios,87.81,86.8,67.0,69.6
P309,Hogar,Decoración,49.63,68.0,68.6,97.6
P310,Hogar,Decoración,75.98,77.3,59.5,35.6
P311,Bienestar,Salud,47.25,61.75,53.5,51.1
P312,Deporte,Yoga,26.66,80.1,64.6,71.0
P313,Hogar,Decoración,30.82,52.8,39.7,68.5
P314,Deporte,Running,117.84,32.0,52.8,91.0
P315,Tecnología,Wearables,24.72,27.4,37.9,89.8
P316,Deporte,Yoga,165.16,85.6,54.6,70.6
P317,Moda,Accesorios,83.01,26.5,68.5,40.0
P318,Hogar,Organización,41.42,96.4,45.1,42.5
P319,Tecnología,Accesorios,70.71,77.0,60.8,46.3
P320,Bienestar,Relajación,39.93,40.5,70.7,58.7
P321,Deporte,Running,244.14,82.2,69.2,39.0
P322,Bienestar,Personal,59.34,66.7,70.8,54.5
P323,Moda,Calzado,36.28,22.9,41.7,89.3
P324,Tecnología,Smartphone,517.75,97.9,72.3,40.2
P325,Bienestar,Salud,75.97,63.0,62.5,98.2
P326,Moda,Casual,129.98,40.5,94.2,87.1
P327,Hogar,Cocina,88.32,79.8,65.4,48.4
P328,Hogar,Cocina,96.41,26.7,77.0,57.5
P329,Tecnología,Accesorios,132.81,97.4,60.7,98.6
P330,Deporte,Fitness,144.25,33.8,59.4,77.7
P331,Bienestar,Salud,46.07,93.0,51.4,84.3
P332,Bienestar,Salud,74.7,45.2,10.8,57.0
P333,Bienestar,Relajación,81.52,53.7,47.2,95.7
P334,Hogar,Cocina,64.78,44.3,84.2,53.7
P335,Hogar,Decoración,203.16,23.2,63.9,82.7
P336,Bienestar,Cuidado,191.03,93.4,82.1,35.2
P337,Tecnología,Smartphone,14.94,20.9,90.4,87.8
P338,Tecnología,Wearables,133.11,81.3,53.1,76.1
P339,Hogar,Iluminación,113.72,55.5,80.9,37.3
P340,Moda,Accesorios,118.79,71.7,38.4,54.5
P341,Bienestar,Cuidado,109.82,44.7,47.5,64.1
P342,Hogar,Iluminación,59.65,77.4,66.0,38.0
P343,Hogar,Decoración,245.51,45.5,69.3,48.2
P344,Moda,Casual,12.27,89.8,70.0,87.5
P345,Moda,Calzado,20.3,50.3,98.1,92.0
P346,Moda,Casual,34.27,44.7,92.4,60.7
P347,Tecnología,Audio,558.3835164063863,64.1,70.9,91.0
P348,Moda,Urbana,45.79,87.9,64.7,47.3
P349,Hogar,Cocina,83.84,39.7,89.2,72.4
P350,Moda,Calzado,45.98,81.2,55.5,91.2
P351,Moda,Casual,39.73,53.2,66.0,95.0
P352,Tecnología,Wearables,105.55,57.1,37.4,88.5
P353,Bienestar,Salud,113.84,21.2,68.9,47.7
P354,Deporte,Outdoor,375.19,72.2,100.0,77.7
P355,Hogar,Cocina,96.35,51.6,86.7,91.5
P356,Hogar,Organización,58.21,72.2,70.6,72.2
P357,Hogar,Cocina,58.55,88.8,79.4,62.8
P358,Tecnología,Audio,19.37,90.3,35.7,59.2
P359,Deporte,Fitness,120.58,94.4,77.8,54.2
P360,Tecnología,Smartphone,89.31,75.3,68.1,47.3
P361,Moda,Casual,71.2,90.0,88.2,72.7
P362,Moda,Urbana,83.35,79.3,74.1,75.2
P363,Moda,Casual,40.39,79.7,66.0,82.1
P364,Tecnología,Smartphone,16.57,90.9,94.6,55.7
P365,Tecnología,Audio,68.9,23.0,61.8,71.6
P366,Tecnología,Smartphone,63.33,43.7,98.7,82.1
P367,Moda,Calzado,94.27,89.5,62.4,36.0
P368,Moda,Calzado,85.78,45.6,48.4,69.9
P369,Hogar,Decoración,84.74,82.2,44.5,84.4
P370,Tecnología,Audio,50.66,47.6,38.4,75.7
P371,Hogar,Iluminación,323.8,43.1,79.2,99.9
P372,Tecnología,Audio,178.09,42.1,57.0,98.6
P373,Bienestar,Personal,41.2,95.8,79.3,69.6
P374,Bienestar,Personal,208.62,60.1,49.8,55.1
P375,Hogar,Cocina,106.82,33.8,74.5,65.2
P376,Hogar,Iluminación,27.18,83.4,61.5,96.9
P377,Tecnología,Accesorios,183.61,78.6,64.3,45.3
P378,Tecnología,Smartphone,57.74,82.5,76.4,47.3
P379,Deporte,Yoga,59.66,22.8,85.1,44.9
P380,Deporte,Running,69.63,77.3,75.0,94.4
P381,Deporte,Outdoor,87.97,99.2,92.9,78.0
P382,Hogar,Decoración,66.82,77.5,35.8,92.4
P383,Tecnología,Wearables,157.33,50.0,47.6,68.5
P384,Hogar,Iluminación,257.18,21.7,55.3,89.1
P385,Tecnología,Wearables,62.97,97.6,75.8,76.3
P386,Hogar,Cocina,27.69,54.7,38.0,45.4
P387,Bienestar,Personal,58.34,96.9,45.9,41.4
P388,Deporte,Running,42.53,58.0,71.4,47.0
P389,Tecnología,Audio,54.44,82.3,56.1,51.0
P390,Deporte,Running,30.4,65.8,32.6,69.7
P391,Hogar,Decoración,109.49,94.4,72.2,54.9
P392,Moda,Casual,29.59,26.3,60.7,71.3
P393,Bienestar,Relajación,35.93,32.4,41.6,45.6
P394,Moda,Casual,245.68,30.2,67.4,68.2
P395,Moda,Accesorios,28.33,59.6,12.0,53.7
P396,Deporte,Outdoor,33.15,35.6,49.0,44.3
P397,Hogar,Cocina,233.17,49.3,97.1,37.9
P398,Hogar,Cocina,74.0,54.4,81.4,69.7
P399,Bienestar,Personal,35.77,25.5,63.3,73.3
P400,Hogar,Decoración,38.67,52.7,73.6,88.8
P401,Moda,Casual,535.11,29.2,40.9,75.9
P402,Moda,Accesorios,141.25,71.1,93.3,59.6
P403,Bienestar,Salud,97.87,51.5,67.5,82.1
P404,Moda,Urbana,143.55,41.3,65.6,69.8
P405,Deporte,Running,62.92,27.8,67.2,83.4
P406,Hogar,Iluminación,88.26,36.5,65.5,85.6
P407,Hogar,Organización,111.75,69.4,64.2,86.4
P408,Bienestar,Cuidado,53.66,83.6,90.2,35.9
P409,Moda,Accesorios,85.81,82.8,72.8,58.0
P410,Tecnología,Smartphone,234.82,36.4,55.1,73.6
P411,Deporte,Outdoor,35.85,52.0,61.7,82.9
P412,Moda,Calzado,474.7909908125018,71.6,87.0,41.5
P413,Hogar,Cocina,52.09,85.8,89.4,92.9
P414,Hogar,Decoración,135.45,38.8,41.8,94.8
P415,Moda,Calzado,173.24,97.4,68.4,40.7
P416,Tecnología,Smartphone,28.13,33.5,38.2,89.0
P417,Hogar,Cocina,63.43,24.7,66.0,74.6
P418,Bienestar,Relajación,47.58,45.5,53.0,81.4
P419,Hogar,Cocina,112.41,61.75,40.3,53.2
P420,Hogar,Cocina,80.31,85.4,88.8,79.5
P421,Deporte,Fitness,148.71,85.4,85.4,98.9
P422,Hogar,Decoración,302.41,29.2,50.9,37.1
P423,Deporte,Yoga,18.2,26.0,73.1,93.6
P424,Tecnología,Accesorios,18.27,82.7,62.4,75.4
P425,Moda,Casual,80.36,97.1,61.6,69.5
P426,Bienestar,Relajación,107.46,65.0,80.1,92.0
P427,Deporte,Outdoor,43.52,39.5,71.6,71.8
P428,Tecnología,Accesorios,84.02,55.9,65.0,68.7
P429,Deporte,Running,97.36,68.3,100.0,36.6
P430,Deporte,Outdoor,31.14,38.2,64.3,97.5
P431,Moda,Casual,99.44,79.6,62.5,100.0
P432,Bienestar,Cuidado,126.09,22.5,31.3,65.0
P433,Bienestar,Salud,81.54,37.9,100.0,70.0
P434,Hogar,Cocina,27.93,22.9,43.4,66.5
P435,Hogar,Cocina,40.67,84.2,88.7,55.5
P436,Moda,Accesorios,109.78,25.2,46.9,76.5
P437,Tecnología,Smartphone,276.63,33.7,66.0,59.8
P438,Tecnología,Accesorios,107.71,61.4,76.7,43.2
P439,Deporte,Outdoor,66.0,89.9,100.0,65.1
P440,Bienestar,Cuidado,91.29,48.7,49.6,54.5
P441,Moda,Calzado,66.0,81.2,92.1,50.0
P442,Hogar,Iluminación,102.07,60.3,52.8,82.5
P443,Tecnología,Wearables,110.71,96.5,71.3,61.4
P444,Moda,Calzado,26.35,61.75,45.4,61.7
P445,Deporte,Running,191.09,83.0,68.5,97.6
P446,Deporte,Fitness,268.88,57.2,75.7,99.6
P447,Tecnología,Audio,34.37,68.7,80.8,37.9
P448,Moda,Urbana,49.46,82.0,79.8,72.3
P449,Tecnología,Accesorios,133.18,26.6,64.0,36.3
P450,Bienestar,Personal,64.2,54.5,57.5,96.2
P451,Deporte,Yoga,35.68,43.6,84.5,75.7
P452,Deporte,Outdoor,26.47,75.2,92.2,83.4
P453,Moda,Accesorios,71.87,88.6,43.8,80.6
P454,Moda,Urbana,32.72,71.0,62.8,77.0
P455,Hogar,Cocina,118.28,23.3,54.8,65.0
P456,Tecnología,Accesorios,80.67,57.3,70.9,39.0
P457,Deporte,Yoga,272.63,74.2,54.0,61.4
P458,Deporte,Fitness,183.53,55.3,68.6,68.5
P459,Moda,Accesorios,77.67,89.4,82.9,68.8
P460,Hogar,Organización,181.49,80.7,34.2,44.8
P461,Bienestar,Salud,51.36,22.6,54.5,59.0
P462,Hogar,Decoración,46.68,42.1,65.7,81.1
P463,Moda,Calzado,194.33,45.8,50.0,61.0
P464,Tecnología,Accesorios,307.88,70.8,73.3,55.5
P465,Hogar,Cocina,173.67,56.7,45.6,71.4
P466,Tecnología,Wearables,34.45,61.75,72.0,41.1
P467,Moda,Urbana,32.89,77.0,64.2,43.1
P468,Bienestar,Cuidado,131.38,75.0,50.6,49.9
P469,Hogar,Iluminación,42.65,82.8,41.2,85.3
P470,Tecnología,Wearables,44.37,93.0,71.6,93.9
P471,Deporte,Running,71.54,94.5,99.9,55.2
P472,Bienestar,Personal,50.2,23.2,78.6,60.0
P473,Moda,Accesorios,299.05,75.0,77.9,45.9
P474,Deporte,Fitness,258.97,59.7,58.1,35.1
P475,Deporte,Yoga,251.38,75.2,65.3,59.9
P476,Tecnología,Smartphone,65.11,83.0,47.3,63.4
P477,Tecnología,Accesorios,271.5,84.3,50.7,47.4
