id_usuario,id_producto,categoria,subcategoria,precio,nivel_novedad,popularidad,tipo_interaccion,valoracion,tiempo_interaccion_seg,compra,peso
1077,P265,Tecnología,Smartphone,157.18,52.4,65.5,vista,1.0,54.8,0,1
2773,P122,Hogar,Cocina,90.26,91.5,84.3,click,0.0,36.8,0,2
1575,P145,Hogar,Iluminación,70.17,37.0,79.6,vista,5.0,68.5,0,1
2181,P073,Deporte,Outdoor,81.45,94.5,61.1,vista,0.0,118.1,0,1
2782,P312,Deporte,Yoga,26.66,80.1,64.6,vista,0.0,35.5,0,1
1132,P349,Hogar,Cocina,83.84,39.7,89.2,carrito,0.0,119.4,0,4
1790,P101,Bienestar,Cuidado,285.38,81.2,53.5,vista,0.0,145.3,0,1
2405,P282,Bienestar,Salud,164.31,91.5,80.5,vista,0.0,179.8,0,1
1620,P289,Deporte,Outdoor,55.38,40.3,79.4,click,0.0,23.5,0,2
1444,P050,Moda,Urbana,151.04,71.8,54.5,click,4.0,90.0,0,2
2181,P461,Bienestar,Salud,51.36,22.6,54.5,vista,0.0,39.2,0,1
2973,P361,Moda,Casual,71.2,90.0,88.2,compra,0.0,44.6,1,5
1144,P144,Deporte,Outdoor,201.6,90.8,51.0,vista,2.0,82.4,0,1
1079,P484,Bienestar,Personal,119.94,20.7,29.5,carrito,3.0,82.5,0,4
1774,P116,Bienestar,Cuidado,87.29,24.9,67.8,click,0.0,16.2,0,2
2095,P010,Tecnología,Accesorios,73.59,33.1,45.5,vista,0.0,48.1,0,1
2398,P450,Bienestar,Personal,64.2,54.5,57.5,carrito,0.0,42.2,0,4
2435,P482,Hogar,Decoración,142.39,56.7,61.0,vista,3.0,74.8,0,1
2881,P014,Moda,Calzado,64.8,53.1,25.5,click,0.0,120.2,0,2
2638,P188,Bienestar,Cuidado,19.39,55.8,63.5,click,3.0,97.7,0,2
2387,P276,Deporte,Outdoor,48.8,82.3,88.8,vista,2.0,52.8,0,1
2362,P145,Hogar,Iluminación,70.17,37.0,79.6,click,0.0,26.5,0,2
1465,P127,Deporte,Yoga,102.02,26.6,69.8,click,0.0,85.5,0,2
2550,P088,Moda,Calzado,52.43,69.1,66.0,click,2.0,86.6,0,2
2819,P500,Tecnología,Accesorios,84.95,24.3,48.5,vista,0.0,65.0,0,1
2578,P075,Tecnología,Audio,191.43,51.1,80.1,favorito,0.0,9.6,0,3
2710,P313,Hogar,Decoración,30.82,52.8,39.7,compra,1.0,48.2,1,5
2919,P376,Hogar,Iluminación,27.18,83.4,61.5,compra,3.0,12.6,1,5
2404,P497,Deporte,Yoga,21.61,99.7,52.5,vista,2.0,21.6,0,1
2142,P480,Hogar,Cocina,142.15,46.9,61.8,favorito,0.0,150.0,0,3
1989,P069,Bienestar,Salud,57.03,51.7,46.1,vista,0.0,34.7,0,1
2327,P374,Bienestar,Personal,208.62,60.1,49.8,favorito,0.0,38.1,0,3
1528,P391,Hogar,Decoración,109.49,94.4,72.2,click,4.0,38.7,0,2
2275,P200,Tecnología,Wearables,60.89,33.6,29.2,vista,0.0,265.9,0,1
2405,P218,Hogar,Decoración,285.02,51.3,94.9,vista,0.0,80.9,0,1
2877,P159,Bienestar,Salud,105.42,66.6,66.1,click,4.0,29.1,0,2
2162,P061,Tecnología,Smartphone,188.11,88.6,56.0,click,5.0,103.1,0,2
1617,P138,Tecnología,Smartphone,33.45,75.7,64.8,click,0.0,34.4,0,2
2124,P201,Hogar,Iluminación,177.1,83.0,56.8,vista,0.0,405.2,0,1
1917,P334,Hogar,Cocina,64.78,44.3,84.2,vista,0.0,28.2,0,1
1263,P250,Bienestar,Personal,130.79,86.8,61.4,click,0.0,146.9,0,2
1760,P139,Hogar,Organización,151.68,83.2,70.7,favorito,0.0,158.3,0,3
2787,P191,Hogar,Organización,31.54,38.1,83.2,vista,0.0,58.7,0,1
1190,P375,Hogar,Cocina,106.82,33.8,74.5,click,1.0,143.0,0,2
2925,P271,Deporte,Fitness,75.62,93.2,90.7,vista,0.0,79.5,0,1
1830,P496,Moda,Accesorios,107.74,25.1,66.0,click,0.0,60.0,0,2
1961,P142,Deporte,Fitness,40.27,37.7,72.8,vista,0.0,47.3,0,1
1597,P482,Hogar,Decoración,142.39,56.7,61.0,click,0.0,26.4,0,2
2053,P096,Hogar,Iluminación,44.52,60.7,56.8,carrito,0.0,65.4,0,4
2795,P453,Moda,Accesorios,71.87,88.6,43.8,vista,0.0,348.5,0,1
2797,P114,Moda,Calzado,58.1,81.5,94.6,favorito,2.0,166.6,0,3
2687,P373,Bienestar,Personal,41.2,95.8,79.3,vista,0.0,213.1,0,1
1915,P359,Deporte,Fitness,120.58,94.4,77.8,vista,0.0,76.4,0,1
2121,P372,Tecnología,Audio,178.09,42.1,57.0,vista,0.0,52.4,0,1
1289,P185,Tecnología,Smartphone,47.14,30.4,47.9,vista,0.0,12.0,0,1
1937,P493,Tecnología,Wearables,178.77,37.0,50.2,vista,2.0,83.0,0,1
1080,P203,Bienestar,Relajación,155.83,39.2,72.1,favorito,0.0,99.4,0,3
2081,P227,Bienestar,Cuidado,193.07,71.1,73.7,click,0.0,44.7,0,2
2001,P175,Hogar,Organización,59.37,71.6,72.5,compra,0.0,30.0,1,5
2765,P377,Tecnología,Accesorios,183.61,78.6,64.3,vista,5.0,27.1,0,1
1920,P045,Hogar,Organización,139.66,43.4,70.7,carrito,0.0,65.4,0,4
2813,P196,Hogar,Cocina,42.37,91.1,74.6,vista,0.0,83.6,0,1
1310,P479,Bienestar,Cuidado,134.35,57.0,44.9,compra,0.0,40.4,1,5
2964,P357,Hogar,Cocina,58.55,88.8,79.4,compra,0.0,103.1,1,5
2685,P160,Tecnología,Wearables,48.71,97.9,55.9,compra,1.0,83.5,1,5
1086,P118,Tecnología,Audio,187.67,27.0,81.2,vista,0.0,89.7,0,1
2117,P370,Tecnología,Audio,50.66,47.6,38.4,click,4.0,1325.7,0,2
2518,P165,Hogar,Cocina,132.46,37.8,74.8,vista,0.0,78.3,0,1
2041,P211,Deporte,Outdoor,56.77,98.3,64.8,vista,0.0,127.6,0,1
1605,P241,Hogar,Iluminación,137.96,62.5,82.3,vista,0.0,69.5,0,1
1321,P442,Hogar,Iluminación,102.07,60.3,52.8,vista,0.0,71.9,0,1
2405,P072,Deporte,Running,88.73,38.4,37.8,vista,3.0,25.6,0,1
1603,P229,Bienestar,Cuidado,58.06,20.9,83.2,vista,0.0,77.4,0,1
2646,P411,Deporte,Outdoor,35.85,52.0,61.7,compra,1.0,65.0,1,5
1012,P450,Bienestar,Personal,64.2,54.5,57.5,click,4.0,30.2,0,2
2384,P357,Hogar,Cocina,58.55,88.8,79.4,vista,3.0,43.8,0,1
2924,P223,Bienestar,Personal,85.02,84.4,61.5,vista,0.0,80.1,0,1
1247,P173,Deporte,Fitness,96.94,23.3,49.9,vista,0.0,73.7,0,1
1109,P127,Deporte,Yoga,102.02,26.6,69.8,vista,0.0,63.5,0,1
1770,P445,Deporte,Running,191.09,83.0,68.5,click,4.0,89.6,0,2
1296,P076,Deporte,Running,25.37,98.7,72.8,vista,0.0,429.6,0,1
1955,P109,Tecnología,Smartphone,122.97,60.9,35.2,carrito,3.0,182.8,0,4
2622,P242,Hogar,Organización,114.97,78.8,72.9,click,0.0,7.7,0,2
2575,P202,Bienestar,Salud,65.06,93.7,57.3,click,0.0,116.4,0,2
2282,P275,Moda,Casual,55.96,83.2,58.6,compra,5.0,83.2,1,5
1628,P016,Hogar,Iluminación,136.27,37.5,53.4,vista,0.0,199.9,0,1
2594,P395,Moda,Accesorios,28.33,59.6,12.0,carrito,5.0,7.0,0,4
2796,P068,Tecnología,Accesorios,72.2,52.8,40.7,vista,0.0,46.7,0,1
2391,P336,Bienestar,Cuidado,191.03,93.4,82.1,vista,0.0,16.8,0,1
2850,P372,Tecnología,Audio,178.09,42.1,57.0,vista,4.0,97.4,0,1
2831,P214,Moda,Casual,51.34,61.9,59.0,carrito,0.0,98.3,0,4
1405,P059,Bienestar,Cuidado,49.04,49.4,59.7,vista,0.0,120.8,0,1
1774,P488,Tecnología,Wearables,134.81,49.7,92.3,vista,0.0,22.8,0,1
2026,P190,Bienestar,Salud,82.97,62.2,90.9,favorito,1.0,38.5,0,3
2893,P412,Moda,Calzado,474.7909908125018,71.6,87.0,click,0.0,46.6,0,2
1529,P197,Deporte,Fitness,45.87,43.3,48.2,click,0.0,31.3,0,2
1714,P410,Tecnología,Smartphone,234.82,36.4,55.1,vista,0.0,52.9,0,1
1281,P113,Bienestar,Personal,55.21,45.1,22.7,click,4.0,64.1,0,2
2868,P002,Deporte,Yoga,18.81,92.9,29.2,carrito,1.0,60.7,0,4
1505,P055,Deporte,Fitness,205.28,52.0,44.3,vista,0.0,26.5,0,1
1102,P100,Tecnología,Smartphone,60.3,96.7,52.3,vista,0.0,64.0,0,1
2575,P209,Moda,Urbana,29.33,89.1,69.7,click,3.0,331.5,0,2
1891,P207,Bienestar,Relajación,151.77,78.0,93.4,vista,5.0,44.2,0,1
2517,P270,Hogar,Cocina,34.97,35.1,56.3,vista,1.0,272.7,0,1
2664,P391,Hogar,Decoración,109.49,94.4,72.2,vista,0.0,74.8,0,1
2226,P142,Deporte,Fitness,40.27,37.7,72.8,carrito,0.0,31.9,0,4
2982,P486,Deporte,Yoga,115.98,67.9,64.8,vista,0.0,26.7,0,1
2340,P201,Hogar,Iluminación,177.1,83.0,56.8,vista,4.0,79.7,0,1
2832,P479,Bienestar,Cuidado,134.35,57.0,44.9,vista,0.0,44.8,0,1
1366,P191,Hogar,Organización,31.54,38.1,83.2,vista,4.0,52.2,0,1
2402,P276,Deporte,Outdoor,48.8,82.3,88.8,click,0.0,27.3,0,2
2609,P357,Hogar,Cocina,58.55,88.8,79.4,vista,5.0,27.2,0,1
1078,P047,Deporte,Outdoor,73.72,61.0,82.0,click,0.0,64.5,0,2
1460,P229,Bienestar,Cuidado,58.06,20.9,83.2,click,0.0,14.4,0,2
1871,P384,Hogar,Iluminación,257.18,21.7,55.3,vista,0.0,47.6,0,1
2684,P365,Tecnología,Audio,68.9,23.0,61.8,click,0.0,353.3,0,2
2067,P406,Hogar,Iluminación,88.26,36.5,65.5,carrito,0.0,142.0,0,4
2771,P232,Moda,Casual,27.31,71.6,96.9,vista,0.0,91.9,0,1
2428,P115,Deporte,Fitness,64.4,54.6,55.9,favorito,0.0,220.2,0,3
2417,P247,Hogar,Decoración,18.29,72.7,42.0,vista,0.0,24.9,0,1
2559,P146,Tecnología,Audio,114.79,67.3,46.9,favorito,0.0,13.2,0,3
1055,P329,Tecnología,Accesorios,132.81,97.4,60.7,compra,0.0,95.2,1,5
2584,P457,Deporte,Yoga,272.63,74.2,54.0,vista,0.0,30.6,0,1
1476,P144,Deporte,Outdoor,201.6,90.8,51.0,vista,3.0,65.0,0,1
1761,P455,Hogar,Cocina,118.28,23.3,54.8,carrito,0.0,44.6,0,4
2409,P073,Deporte,Outdoor,81.45,94.5,61.1,compra,0.0,59.6,1,5
2124,P375,Hogar,Cocina,106.82,33.8,74.5,favorito,0.0,7.9,0,3
2288,P434,Hogar,Cocina,27.93,22.9,43.4,vista,5.0,34.6,0,1
2888,P346,Moda,Casual,34.27,44.7,92.4,compra,5.0,22.2,1,5
2236,P284,Tecnología,Smartphone,82.93,63.6,70.9,carrito,0.0,93.8,0,4
1762,P484,Bienestar,Personal,119.94,20.7,29.5,compra,0.0,96.3,1,5
2985,P160,Tecnología,Wearables,48.71,97.9,55.9,vista,0.0,63.9,0,1
1879,P290,Moda,Calzado,255.42,51.5,91.6,vista,0.0,156.9,0,1
2823,P444,Moda,Calzado,26.35,61.75,45.4,click,0.0,92.6,0,2
1439,P106,Bienestar,Salud,136.36,24.8,68.2,vista,0.0,616.8,0,1
1397,P193,Hogar,Iluminación,37.52,28.4,89.5,click,0.0,56.7,0,2
1909,P291,Bienestar,Cuidado,71.37,32.3,63.4,vista,0.0,122.3,0,1
1879,P450,Bienestar,Personal,64.2,54.5,57.5,vista,5.0,87.3,0,1
2756,P445,Deporte,Running,191.09,83.0,68.5,carrito,0.0,76.1,0,4
2578,P311,Bienestar,Salud,47.25,61.75,53.5,vista,0.0,117.8,0,1
2813,P496,Moda,Accesorios,107.74,25.1,66.0,vista,0.0,55.0,0,1
2287,P300,Bienestar,Relajación,104.4,27.9,63.0,vista,0.0,506.9,0,1
1956,P423,Deporte,Yoga,18.2,26.0,73.1,click,0.0,48.2,0,2
1243,P483,Hogar,Cocina,67.0,76.1,48.1,vista,4.0,222.0,0,1
1468,P401,Moda,Casual,535.11,29.2,40.9,vista,0.0,256.3,0,1
1565,P384,Hogar,Iluminación,257.18,21.7,55.3,favorito,0.0,20.5,0,3
2214,P361,Moda,Casual,71.2,90.0,88.2,vista,0.0,53.8,0,1
2514,P172,Deporte,Running,74.64,68.8,35.0,vista,0.0,36.2,0,1
1323,P105,Moda,Accesorios,54.93,30.9,81.2,vista,0.0,61.8,0,1
2913,P101,Bienestar,Cuidado,285.38,81.2,53.5,vista,0.0,198.7,0,1
2138,P255,Hogar,Organización,36.03,86.4,98.7,vista,0.0,38.2,0,1
2388,P006,Hogar,Decoración,146.59,92.3,48.7,vista,4.0,30.9,0,1
2493,P454,Moda,Urbana,32.72,71.0,62.8,vista,0.0,42.7,0,1
1403,P202,Bienestar,Salud,65.06,93.7,57.3,vista,0.0,179.5,0,1
2727,P457,Deporte,Yoga,272.63,74.2,54.0,click,0.0,206.2,0,2
1683,P100,Tecnología,Smartphone,60.3,96.7,52.3,vista,3.0,29.3,0,1
1107,P481,Moda,Calzado,50.8,48.5,50.1,vista,0.0,64.1,0,1
2517,P215,Deporte,Fitness,62.82,23.4,66.0,click,0.0,281.2,0,2
1130,P144,Deporte,Outdoor,201.6,90.8,51.0,vista,0.0,40.3,0,1
2401,P136,Hogar,Iluminación,262.65,58.7,84.7,vista,0.0,27.2,0,1
1588,P432,Bienestar,Cuidado,126.09,22.5,31.3,vista,0.0,90.0,0,1
2349,P023,Tecnología,Audio,33.46,25.1,72.7,click,4.0,11.0,0,2
2025,P021,Deporte,Running,67.24,59.3,62.0,vista,1.0,24.8,0,1
1154,P374,Bienestar,Personal,208.62,60.1,49.8,vista,0.0,248.4,0,1
2980,P325,Bienestar,Salud,75.97,63.0,62.5,favorito,0.0,5.9,0,3
1892,P169,Tecnología,Audio,231.1,62.4,44.1,vista,0.0,248.6,0,1
2425,P186,Hogar,Iluminación,77.48,62.1,67.3,vista,0.0,65.7,0,1
2393,P336,Bienestar,Cuidado,191.03,93.4,82.1,favorito,2.0,66.8,0,3
2080,P477,Tecnología,Accesorios,271.5,84.3,50.7,vista,1.0,26.5,0,1
2924,P487,Deporte,Fitness,128.53,71.7,79.4,vista,3.0,25.2,0,1
2827,P112,Deporte,Running,102.61,99.1,53.1,vista,3.0,13.3,0,1
1801,P230,Moda,Calzado,143.93,51.8,46.7,click,0.0,71.3,0,2
2244,P174,Deporte,Outdoor,152.79,61.75,56.4,vista,0.0,197.4,0,1
1013,P454,Moda,Urbana,32.72,71.0,62.8,vista,0.0,81.8,0,1
1609,P036,Bienestar,Cuidado,128.57,61.75,77.5,vista,0.0,33.1,0,1
2628,P496,Moda,Accesorios,107.74,25.1,66.0,carrito,5.0,37.6,0,4
2652,P033,Tecnología,Smartphone,60.25,65.9,66.3,click,0.0,139.1,0,2
1696,P123,Hogar,Iluminación,49.52,66.6,39.0,vista,0.0,148.4,0,1
1034,P125,Moda,Calzado,115.3,30.4,3.7,compra,0.0,19.3,1,5
2070,P492,Tecnología,Accesorios,45.09,53.6,96.6,compra,0.0,32.5,1,5
1265,P378,Tecnología,Smartphone,57.74,82.5,76.4,click,0.0,136.4,0,2
1035,P202,Bienestar,Salud,65.06,93.7,57.3,vista,2.0,38.3,0,1
1783,P060,Moda,Urbana,301.83,89.4,58.4,click,0.0,6.6,0,2
1956,P193,Hogar,Iluminación,37.52,28.4,89.5,compra,0.0,46.8,1,5
2154,P267,Bienestar,Cuidado,55.38,88.7,28.9,compra,0.0,62.1,1,5
2295,P472,Bienestar,Personal,50.2,23.2,78.6,click,0.0,26.5,0,2
1190,P389,Tecnología,Audio,54.44,82.3,56.1,click,0.0,84.3,0,2
1963,P451,Deporte,Yoga,35.68,43.6,84.5,vista,1.0,466.1,0,1
2741,P145,Hogar,Iluminación,70.17,37.0,79.6,vista,0.0,36.1,0,1
1034,P124,Hogar,Iluminación,74.48,43.9,95.5,click,2.0,52.3,0,2
2880,P304,Bienestar,Salud,32.95,95.2,68.9,compra,2.0,52.6,1,5
2475,P153,Moda,Urbana,55.96,94.2,58.8,click,0.0,27.5,0,2
2560,P278,Hogar,Cocina,93.18,66.7,46.1,compra,0.0,27.7,1,5
1041,P303,Deporte,Running,162.86,97.1,55.7,vista,0.0,235.9,0,1
1476,P420,Hogar,Cocina,80.31,85.4,88.8,click,0.0,40.6,0,2
2909,P296,Tecnología,Accesorios,58.66,45.3,65.1,compra,0.0,28.1,1,5
2217,P066,Hogar,Decoración,60.98,58.3,71.9,vista,0.0,105.9,0,1
2451,P177,Bienestar,Relajación,885.92,94.7,30.9,click,0.0,170.1,0,2
2706,P047,Deporte,Outdoor,73.72,61.0,82.0,vista,0.0,33.1,0,1
1492,P437,Tecnología,Smartphone,276.63,33.7,66.0,vista,2.0,190.5,0,1
2403,P454,Moda,Urbana,32.72,71.0,62.8,vista,4.0,65.0,0,1
2696,P061,Tecnología,Smartphone,188.11,88.6,56.0,compra,3.0,171.5,1,5
1252,P455,Hogar,Cocina,118.28,23.3,54.8,vista,0.0,152.3,0,1
2763,P185,Tecnología,Smartphone,47.14,30.4,47.9,compra,0.0,43.0,1,5
1746,P079,Deporte,Fitness,269.19,90.7,66.0,carrito,0.0,22.4,0,4
2214,P154,Moda,Casual,62.14,26.5,86.6,vista,0.0,40.5,0,1
2389,P125,Moda,Calzado,115.3,30.4,3.7,vista,2.0,19.5,0,1
1291,P403,Bienestar,Salud,97.87,51.5,67.5,vista,0.0,183.9,0,1
1375,P195,Bienestar,Salud,90.8,39.0,61.1,vista,0.0,91.7,0,1
2468,P039,Deporte,Running,68.64,50.2,81.9,click,0.0,21.1,0,2
1479,P355,Hogar,Cocina,96.35,51.6,86.7,vista,5.0,93.8,0,1
1568,P287,Bienestar,Salud,289.66,67.5,74.4,click,0.0,14.5,0,2
1672,P364,Tecnología,Smartphone,16.57,90.9,94.6,click,2.0,28.6,0,2
2532,P395,Moda,Accesorios,28.33,59.6,12.0,click,0.0,98.0,0,2
2222,P422,Hogar,Decoración,302.41,29.2,50.9,click,4.0,48.5,0,2
2041,P257,Hogar,Cocina,388.03,57.0,81.0,vista,0.0,100.9,0,1
2725,P014,Moda,Calzado,64.8,53.1,25.5,vista,0.0,8.9,0,1
2597,P172,Deporte,Running,74.64,68.8,35.0,vista,5.0,357.9,0,1
2047,P053,Moda,Casual,62.26,56.5,100.0,vista,0.0,45.7,0,1
2540,P019,Tecnología,Audio,15.42,36.7,52.9,click,0.0,33.9,0,2
2874,P273,Tecnología,Audio,13.71,62.4,67.3,vista,0.0,119.9,0,1
1683,P236,Tecnología,Audio,23.21,61.75,65.9,vista,0.0,13.7,0,1
2300,P377,Tecnología,Accesorios,183.61,78.6,64.3,vista,5.0,16.1,0,1
2162,P184,Deporte,Running,51.21,23.0,77.3,vista,0.0,171.6,0,1
1867,P305,Tecnología,Smartphone,26.85,25.1,69.2,vista,5.0,228.8,0,1
1711,P295,Deporte,Running,78.34,37.7,100.0,favorito,0.0,78.9,0,3
2491,P394,Moda,Casual,245.68,30.2,67.4,vista,0.0,101.6,0,1
2550,P273,Tecnología,Audio,13.71,62.4,67.3,favorito,0.0,20.2,0,3
1469,P360,Tecnología,Smartphone,89.31,75.3,68.1,vista,0.0,11.7,0,1
1858,P176,Hogar,Cocina,65.24,51.7,43.5,vista,0.0,71.2,0,1
1816,P153,Moda,Urbana,55.96,94.2,58.8,vista,5.0,201.1,0,1
1743,P328,Hogar,Cocina,96.41,26.7,77.0,vista,1.0,40.4,0,1
1611,P269,Tecnología,Wearables,57.02,83.9,78.7,click,0.0,53.8,0,2
2974,P186,Hogar,Iluminación,77.48,62.1,67.3,compra,0.0,255.8,1,5
1269,P461,Bienestar,Salud,51.36,22.6,54.5,click,0.0,117.0,0,2
1999,P163,Moda,Urbana,38.21,52.1,31.5,vista,0.0,41.2,0,1
1812,P442,Hogar,Iluminación,102.07,60.3,52.8,vista,0.0,179.4,0,1
2965,P093,Bienestar,Cuidado,122.3,43.7,68.9,compra,0.0,25.8,1,5
1118,P479,Bienestar,Cuidado,134.35,57.0,44.9,vista,0.0,108.0,0,1
1136,P106,Bienestar,Salud,136.36,24.8,68.2,vista,0.0,34.1,0,1
2349,P366,Tecnología,Smartphone,63.33,43.7,98.7,vista,0.0,55.4,0,1
2321,P183,Bienestar,Salud,60.0,68.9,77.0,click,0.0,35.7,0,2
2224,P135,Hogar,Cocina,29.11,76.0,57.9,compra,2.0,145.8,1,5
2769,P498,Moda,Urbana,114.89,85.3,47.0,vista,0.0,64.4,0,1
1127,P209,Moda,Urbana,29.33,89.1,69.7,vista,0.0,23.1,0,1
1320,P002,Deporte,Yoga,18.81,92.9,29.2,click,0.0,13.4,0,2
2399,P350,Moda,Calzado,45.98,81.2,55.5,vista,0.0,10.0,0,1
2851,P274,Tecnología,Audio,106.05,38.8,63.2,vista,0.0,51.8,0,1
2098,P182,Hogar,Decoración,73.92,53.1,51.4,vista,2.0,63.8,0,1
2002,P083,Moda,Casual,36.59,86.1,77.2,carrito,0.0,39.9,0,4
2159,P013,Deporte,Running,251.0,87.3,44.5,vista,5.0,128.7,0,1
1333,P360,Tecnología,Smartphone,89.31,75.3,68.1,vista,1.0,18.3,0,1
1385,P107,Tecnología,Smartphone,23.13,76.5,69.5,click,0.0,52.4,0,2
2960,P222,Moda,Accesorios,82.09,88.3,68.4,click,0.0,719.9,0,2
1286,P138,Tecnología,Smartphone,33.45,75.7,64.8,favorito,0.0,7.1,0,3
1558,P028,Moda,Calzado,22.92,64.9,84.2,vista,0.0,25.5,0,1
2253,P414,Hogar,Decoración,135.45,38.8,41.8,vista,0.0,13.5,0,1
1840,P350,Moda,Calzado,45.98,81.2,55.5,vista,0.0,182.2,0,1
1588,P071,Tecnología,Accesorios,24.44,69.9,67.6,vista,0.0,25.8,0,1
1637,P430,Deporte,Outdoor,31.14,38.2,64.3,click,0.0,203.8,0,2
2210,P401,Moda,Casual,535.11,29.2,40.9,vista,0.0,32.7,0,1
2470,P072,Deporte,Running,88.73,38.4,37.8,vista,0.0,88.8,0,1
2451,P160,Tecnología,Wearables,48.71,97.9,55.9,vista,0.0,153.2,0,1
2693,P018,Bienestar,Salud,48.21,89.8,79.1,favorito,0.0,56.3,0,3
2925,P106,Bienestar,Salud,136.36,24.8,68.2,vista,0.0,49.3,0,1
1179,P316,Deporte,Yoga,165.16,85.6,54.6,vista,0.0,152.4,0,1
2218,P201,Hogar,Iluminación,177.1,83.0,56.8,vista,0.0,29.1,0,1
1088,P210,Tecnología,Wearables,59.83,32.3,60.3,vista,0.0,70.7,0,1
1296,P399,Bienestar,Personal,35.77,25.5,63.3,click,5.0,995.9,0,2
1685,P284,Tecnología,Smartphone,82.93,63.6,70.9,favorito,0.0,48.8,0,3
2426,P385,Tecnología,Wearables,62.97,97.6,75.8,vista,5.0,45.4,0,1
2819,P419,Hogar,Cocina,112.41,61.75,40.3,favorito,0.0,40.4,0,3
2963,P291,Bienestar,Cuidado,71.37,32.3,63.4,vista,4.0,44.4,0,1
2546,P335,Hogar,Decoración,203.16,23.2,63.9,vista,0.0,30.9,0,1
1790,P090,Hogar,Iluminación,87.69,82.1,58.1,carrito,0.0,694.3,0,4
2200,P232,Moda,Casual,27.31,71.6,96.9,vista,0.0,74.9,0,1
1010,P392,Moda,Casual,29.59,26.3,60.7,click,0.0,41.5,0,2
2776,P363,Moda,Casual,40.39,79.7,66.0,click,0.0,43.4,0,2
2374,P367,Moda,Calzado,94.27,89.5,62.4,vista,0.0,21.6,0,1
2209,P238,Moda,Urbana,122.16,97.7,40.7,vista,3.0,36.2,0,1
1408,P234,Bienestar,Relajación,30.54,92.8,53.9,vista,0.0,22.7,0,1
1994,P331,Bienestar,Salud,46.07,93.0,51.4,favorito,0.0,46.0,0,3
1076,P089,Deporte,Running,63.68,60.1,70.2,vista,5.0,26.1,0,1
1648,P489,Tecnología,Audio,351.6,93.4,73.2,vista,4.0,19.1,0,1
1198,P081,Deporte,Outdoor,26.79,76.3,76.6,vista,0.0,20.8,0,1
2520,P343,Hogar,Decoración,245.51,45.5,69.3,vista,0.0,79.5,0,1
2859,P049,Tecnología,Smartphone,84.5,40.3,71.9,click,0.0,39.3,0,2
1941,P449,Tecnología,Accesorios,133.18,26.6,64.0,favorito,1.0,36.4,0,3
2637,P270,Hogar,Cocina,34.97,35.1,56.3,compra,0.0,62.4,1,5
2100,P374,Bienestar,Personal,208.62,60.1,49.8,favorito,0.0,17.0,0,3
2781,P141,Deporte,Outdoor,92.18,24.5,64.6,vista,0.0,55.4,0,1
